act_fun	layers	neurons	alpha	iterations	batch_size	batch_count	std_dev	train_err	test_err	train_score	test_score		layers_structure
sigmoid	3	130	0,1	600	10	1	0,1	0,0894	0,0888	32,40%	33,41%		[(784, 70), (70, 50), (50, 10)]
tanh	3	130	0,1	600	10	1	0,1	0,0939	0,0940	33,56%	33,95%		[(784, 70), (70, 50), (50, 10)]
relu	3	130	0,1	600	10	1	0,1	0,0992	0,0984	31,37%	32,35%		[(784, 70), (70, 50), (50, 10)]
sigmoid	4	130	0,1	600	10	1	0,1	0,1019	0,1021	16,36%	15,98%		[(784, 50), (50, 40), (40, 30), (30, 10)]
tanh	4	130	0,1	600	10	1	0,1	0,1097	0,1086	29,75%	30,67%		[(784, 50), (50, 40), (40, 30), (30, 10)]
relu	4	130	0,1	600	10	1	0,1	0,1042	0,1037	30,75%	31,39%		[(784, 50), (50, 40), (40, 30), (30, 10)]
sigmoid	4	100	0,1	600	10	1	0,1	0,1019	0,1020	17,11%	17,43%		[(784, 20), (20, 40), (40, 30), (30, 10)]
tanh	4	100	0,1	600	10	1	0,1	0,1095	0,1086	31,12%	32,04%		[(784, 20), (20, 40), (40, 30), (30, 10)]
relu	4	100	0,1	600	10	1	0,1	0,1056	0,1047	31,26%	32,29%		[(784, 20), (20, 40), (40, 30), (30, 10)]
sigmoid	2	60	0,1	600	10	100	0,1	0,0178	0,0166	88,86%	89,55%		[(784, 50), (50, 10)]
tanh	2	60	0,1	600	10	100	0,1	0,0190	0,0174	88,27%	89,21%		[(784, 50), (50, 10)]
relu	2	60	0,1	600	10	100	0,1	0,0195	0,0182	88,45%	89,13%		[(784, 50), (50, 10)]
sigmoid	3	80	0,1	600	10	100	0,1	0,0197	0,0185	87,91%	88,56%		[(784, 50), (50, 20), (20, 10)]
tanh	3	80	0,1	600	10	100	0,1	0,0188	0,0174	88,53%	89,45%		[(784, 50), (50, 20), (20, 10)]
relu	3	80	0,1	600	10	100	0,1	0,0199	0,0186	88,47%	89,05%		[(784, 50), (50, 20), (20, 10)]
sigmoid	3	130	0,1	600	10	100	0,1	0,0193	0,0185	88,24%	88,78%		[(784, 70), (70, 50), (50, 10)]
tanh	3	130	0,1	600	10	100	0,1	0,0187	0,0172	88,68%	89,64%		[(784, 70), (70, 50), (50, 10)]
relu	3	130	0,1	600	10	100	0,1	0,0195	0,0186	88,66%	89,03%		[(784, 70), (70, 50), (50, 10)]
sigmoid	4	130	0,1	600	10	100	0,1	0,0271	0,0267	83,79%	83,95%		[(784, 50), (50, 40), (40, 30), (30, 10)]
tanh	4	130	0,1	600	10	100	0,1	0,0202	0,0194	88,18%	88,62%		[(784, 50), (50, 40), (40, 30), (30, 10)]
relu	4	130	0,1	600	10	100	0,1	0,0195	0,0188	88,81%	89,24%		[(784, 50), (50, 40), (40, 30), (30, 10)]
sigmoid	4	100	0,1	600	10	100	0,1	0,0298	0,0298	82,35%	82,40%		[(784, 20), (20, 40), (40, 30), (30, 10)]
tanh	4	100	0,1	600	10	100	0,1	0,0240	0,0227	86,08%	86,83%		[(784, 20), (20, 40), (40, 30), (30, 10)]
relu	4	100	0,1	600	10	100	0,1	0,0221	0,0212	87,68%	88,20%		[(784, 20), (20, 40), (40, 30), (30, 10)]
sigmoid	2	60	0,1	600	10	300	0,1	0,0125	0,0120	92,29%	92,66%		[(784, 50), (50, 10)]
tanh	2	60	0,1	600	10	300	0,1	0,0124	0,0114	92,47%	93,13%		[(784, 50), (50, 10)]
relu	2	60	0,1	600	10	300	0,1	0,0127	0,0121	92,58%	92,88%		[(784, 50), (50, 10)]
sigmoid	3	80	0,1	600	10	300	0,1	0,0123	0,0119	92,53%	92,72%		[(784, 50), (50, 20), (20, 10)]
tanh	3	80	0,1	600	10	300	0,1	0,0127	0,0128	92,53%	92,42%		[(784, 50), (50, 20), (20, 10)]
relu	3	80	0,1	600	10	300	0,1	0,0128	0,0127	92,72%	92,70%		[(784, 50), (50, 20), (20, 10)]
sigmoid	3	130	0,1	600	10	300	0,1	0,0120	0,0118	92,79%	92,87%		[(784, 70), (70, 50), (50, 10)]
tanh	3	130	0,1	600	10	300	0,1	0,0125	0,0121	92,62%	92,80%		[(784, 70), (70, 50), (50, 10)]
relu	3	130	0,1	600	10	300	0,1	0,0117	0,0112	93,25%	93,49%		[(784, 70), (70, 50), (50, 10)]
sigmoid	4	130	0,1	600	10	300	0,1	0,0149	0,0147	91,26%	91,26%		[(784, 50), (50, 40), (40, 30), (30, 10)]
tanh	4	130	0,1	600	10	300	0,1	0,0130	0,0127	92,48%	92,76%		[(784, 50), (50, 40), (40, 30), (30, 10)]
relu	4	130	0,1	600	10	300	0,1	0,0122	0,0125	93,17%	93,03%		[(784, 50), (50, 40), (40, 30), (30, 10)]
sigmoid	4	100	0,1	600	10	300	0,1	0,0202	0,0201	88,39%	88,40%		[(784, 20), (20, 40), (40, 30), (30, 10)]
tanh	4	100	0,1	600	10	300	0,1	0,0169	0,0170	90,50%	90,60%		[(784, 20), (20, 40), (40, 30), (30, 10)]
relu	4	100	0,1	600	10	300	0,1	0,0139	0,0144	92,39%	92,20%		[(784, 20), (20, 40), (40, 30), (30, 10)]
sigmoid	2	60	0,1	600	100	1	0,1	0,0350	0,0336	76,85%	78,16%		[(784, 50), (50, 10)]
tanh	2	60	0,1	600	100	1	0,1	0,0349	0,0337	75,47%	75,93%		[(784, 50), (50, 10)]
relu	2	60	0,1	600	100	1	0,1	0,0348	0,0325	75,97%	77,68%		[(784, 50), (50, 10)]
sigmoid	3	80	0,1	600	100	1	0,1	0,0791	0,0791	40,95%	40,58%		[(784, 50), (50, 20), (20, 10)]
tanh	3	80	0,1	600	100	1	0,1	0,0382	0,0370	73,57%	74,64%		[(784, 50), (50, 20), (20, 10)]
relu	3	80	0,1	600	100	1	0,1	0,0440	0,0421	70,78%	71,99%		[(784, 50), (50, 20), (20, 10)]
sigmoid	3	130	0,1	600	100	1	0,1	0,0630	0,0627	61,03%	61,30%		[(784, 70), (70, 50), (50, 10)]
tanh	3	130	0,1	600	100	1	0,1	0,0368	0,0355	74,06%	75,22%		[(784, 70), (70, 50), (50, 10)]
relu	3	130	0,1	600	100	1	0,1	0,0377	0,0356	74,33%	75,95%		[(784, 70), (70, 50), (50, 10)]
sigmoid	4	130	0,1	600	100	1	0,1	0,0904	0,0904	9,74%	9,82%		[(784, 50), (50, 40), (40, 30), (30, 10)]
tanh	4	130	0,1	600	100	1	0,1	0,0475	0,0458	67,98%	69,22%		[(784, 50), (50, 40), (40, 30), (30, 10)]
relu	4	130	0,1	600	100	1	0,1	0,0421	0,0399	72,96%	74,41%		[(784, 50), (50, 40), (40, 30), (30, 10)]
sigmoid	4	100	0,1	600	100	1	0,1	0,0904	0,0904	9,74%	9,82%		[(784, 20), (20, 40), (40, 30), (30, 10)]
tanh	4	100	0,1	600	100	1	0,1	0,0429	0,0414	71,40%	72,19%		[(784, 20), (20, 40), (40, 30), (30, 10)]
relu	4	100	0,1	600	100	1	0,1	0,0477	0,0456	70,02%	71,34%		[(784, 20), (20, 40), (40, 30), (30, 10)]
sigmoid	2	60	0,1	600	100	100	0,1	0,0071	0,0076	95,47%	94,99%		[(784, 50), (50, 10)]
tanh	2	60	0,1	600	100	100	0,1	0,0074	0,0083	95,37%	94,91%		[(784, 50), (50, 10)]
relu	2	60	0,1	600	100	100	0,1	0,0075	0,0082	95,47%	95,03%		[(784, 50), (50, 10)]
sigmoid	3	80	0,1	600	100	100	0,1	0,0072	0,0078	95,47%	95,10%		[(784, 50), (50, 20), (20, 10)]
tanh	3	80	0,1	600	100	100	0,1	0,0075	0,0081	95,47%	95,06%		[(784, 50), (50, 20), (20, 10)]
relu	3	80	0,1	600	100	100	0,1	0,0084	0,0092	95,17%	94,73%		[(784, 50), (50, 20), (20, 10)]
sigmoid	3	130	0,1	600	100	100	0,1	0,0065	0,0072	95,94%	95,49%		[(784, 70), (70, 50), (50, 10)]
tanh	3	130	0,1	600	100	100	0,1	0,0072	0,0078	95,62%	95,25%		[(784, 70), (70, 50), (50, 10)]
relu	3	130	0,1	600	100	100	0,1	0,0074	0,0081	95,64%	95,28%		[(784, 70), (70, 50), (50, 10)]
sigmoid	4	130	0,1	600	100	100	0,1	0,0096	0,0104	94,23%	93,68%		[(784, 50), (50, 40), (40, 30), (30, 10)]
tanh	4	130	0,1	600	100	100	0,1	0,0082	0,0091	95,20%	94,63%		[(784, 50), (50, 40), (40, 30), (30, 10)]
relu	4	130	0,1	600	100	100	0,1	0,0083	0,0089	95,34%	95,03%		[(784, 50), (50, 40), (40, 30), (30, 10)]
sigmoid	4	100	0,1	600	100	100	0,1	0,0147	0,0173	91,22%	89,81%		[(784, 20), (20, 40), (40, 30), (30, 10)]
tanh	4	100	0,1	600	100	100	0,1	0,0108	0,0131	93,81%	92,44%		[(784, 20), (20, 40), (40, 30), (30, 10)]
relu	4	100	0,1	600	100	100	0,1	0,0101	0,0115	94,37%	93,61%		[(784, 20), (20, 40), (40, 30), (30, 10)]
sigmoid	2	60	0,1	600	100	300	0,1	0,0039	0,0059	97,57%	96,26%		[(784, 50), (50, 10)]
tanh	2	60	0,1	600	100	300	0,1	0,0041	0,0061	97,53%	96,20%		[(784, 50), (50, 10)]
relu	2	60	0,1	600	100	300	0,1	0,0040	0,0062	97,64%	96,31%		[(784, 50), (50, 10)]
sigmoid	3	80	0,1	600	100	300	0,1	0,0037	0,0053	97,77%	96,77%		[(784, 50), (50, 20), (20, 10)]
tanh	3	80	0,1	600	100	300	0,1	0,0043	0,0064	97,42%	96,19%		[(784, 50), (50, 20), (20, 10)]
relu	3	80	0,1	600	100	300	0,1	0,0043	0,0065	97,57%	96,34%		[(784, 50), (50, 20), (20, 10)]
sigmoid	3	130	0,1	600	100	300	0,1	0,0036	0,0057	97,79%	96,48%		[(784, 70), (70, 50), (50, 10)]
tanh	3	130	0,1	600	100	300	0,1	0,0038	0,0058	97,75%	96,60%		[(784, 70), (70, 50), (50, 10)]
relu	3	130	0,1	600	100	300	0,1	0,0038	0,0057	97,81%	96,68%		[(784, 70), (70, 50), (50, 10)]
sigmoid	4	130	0,1	600	100	300	0,1	0,0049	0,0079	97,10%	95,25%		[(784, 50), (50, 40), (40, 30), (30, 10)]
tanh	4	130	0,1	600	100	300	0,1	0,0046	0,0065	97,39%	96,23%		[(784, 50), (50, 40), (40, 30), (30, 10)]
relu	4	130	0,1	600	100	300	0,1	0,0043	0,0067	97,62%	96,33%		[(784, 50), (50, 40), (40, 30), (30, 10)]
sigmoid	4	100	0,1	600	100	300	0,1	0,0085	0,0131	95,10%	92,39%		[(784, 20), (20, 40), (40, 30), (30, 10)]
tanh	4	100	0,1	600	100	300	0,1	0,0063	0,0104	96,50%	94,16%		[(784, 20), (20, 40), (40, 30), (30, 10)]
relu	4	100	0,1	600	100	300	0,1	0,0059	0,0087	96,83%	95,25%		[(784, 20), (20, 40), (40, 30), (30, 10)]
sigmoid	2	60	0,1	600	500	1	0,1	0,0275	0,0267	83,82%	84,51%		[(784, 50), (50, 10)]
tanh	2	60	0,1	600	500	1	0,1	0,0215	0,0207	85,20%	85,69%		[(784, 50), (50, 10)]
relu	2	60	0,1	600	500	1	0,1	0,0233	0,0228	84,26%	84,71%		[(784, 50), (50, 10)]
sigmoid	3	80	0,1	600	500	1	0,1	0,0798	0,0796	30,74%	31,05%		[(784, 50), (50, 20), (20, 10)]
tanh	3	80	0,1	600	500	1	0,1	0,0242	0,0235	83,25%	83,80%		[(784, 50), (50, 20), (20, 10)]
relu	3	80	0,1	600	500	1	0,1	0,0251	0,0248	83,58%	83,91%		[(784, 50), (50, 20), (20, 10)]
sigmoid	3	130	0,1	600	500	1	0,1	0,0693	0,0689	47,95%	48,59%		[(784, 70), (70, 50), (50, 10)]
tanh	3	130	0,1	600	500	1	0,1	0,0236	0,0230	83,80%	84,16%		[(784, 70), (70, 50), (50, 10)]
relu	3	130	0,1	600	500	1	0,1	0,0230	0,0225	84,88%	85,14%		[(784, 70), (70, 50), (50, 10)]
sigmoid	4	130	0,1	600	500	1	0,1	0,0901	0,0901	9,87%	9,80%		[(784, 50), (50, 40), (40, 30), (30, 10)]
tanh	4	130	0,1	600	500	1	0,1	0,0271	0,0265	81,65%	82,50%		[(784, 50), (50, 40), (40, 30), (30, 10)]
relu	4	130	0,1	600	500	1	0,1	0,0292	0,0289	81,62%	82,04%		[(784, 50), (50, 40), (40, 30), (30, 10)]
sigmoid	4	100	0,1	600	500	1	0,1	0,0902	0,0902	9,87%	9,80%		[(784, 20), (20, 40), (40, 30), (30, 10)]
tanh	4	100	0,1	600	500	1	0,1	0,0336	0,0330	76,96%	77,44%		[(784, 20), (20, 40), (40, 30), (30, 10)]
relu	4	100	0,1	600	500	1	0,1	0,0301	0,0297	81,06%	81,47%		[(784, 20), (20, 40), (40, 30), (30, 10)]
sigmoid	2	60	0,1	600	500	100	0,1	0,0031	0,0048	98,12%	96,78%		[(784, 50), (50, 10)]
tanh	2	60	0,1	600	500	100	0,1	0,0026	0,0055	98,42%	96,45%		[(784, 50), (50, 10)]
relu	2	60	0,1	600	500	100	0,1	0,0025	0,0056	98,48%	96,49%		[(784, 50), (50, 10)]
sigmoid	3	80	0,1	600	500	100	0,1	0,0027	0,0053	98,36%	96,70%		[(784, 50), (50, 20), (20, 10)]
tanh	3	80	0,1	600	500	100	0,1	0,0025	0,0054	98,55%	96,73%		[(784, 50), (50, 20), (20, 10)]
relu	3	80	0,1	600	500	100	0,1	0,0028	0,0066	98,37%	96,11%		[(784, 50), (50, 20), (20, 10)]
sigmoid	3	130	0,1	600	500	100	0,1	0,0023	0,0048	98,60%	96,97%		[(784, 70), (70, 50), (50, 10)]
tanh	3	130	0,1	600	500	100	0,1	0,0023	0,0054	98,59%	96,78%		[(784, 70), (70, 50), (50, 10)]
relu	3	130	0,1	600	500	100	0,1	0,0023	0,0055	98,68%	96,77%		[(784, 70), (70, 50), (50, 10)]
sigmoid	4	130	0,1	600	500	100	0,1	0,0033	0,0076	97,99%	95,32%		[(784, 50), (50, 40), (40, 30), (30, 10)]
tanh	4	130	0,1	600	500	100	0,1	0,0028	0,0063	98,36%	96,31%		[(784, 50), (50, 40), (40, 30), (30, 10)]
relu	4	130	0,1	600	500	100	0,1	0,0029	0,0069	98,37%	96,12%		[(784, 50), (50, 40), (40, 30), (30, 10)]
sigmoid	4	100	0,1	600	500	100	0,1	0,0056	0,0105	96,61%	93,46%		[(784, 20), (20, 40), (40, 30), (30, 10)]
tanh	4	100	0,1	600	500	100	0,1	0,0041	0,0091	97,67%	94,82%		[(784, 20), (20, 40), (40, 30), (30, 10)]
relu	4	100	0,1	600	500	100	0,1	0,0034	0,0081	98,13%	95,55%		[(784, 20), (20, 40), (40, 30), (30, 10)]
sigmoid	2	60	0,1	600	500	300	0,1	0,0010	0,0041	99,52%	97,19%		[(784, 50), (50, 10)]
tanh	2	60	0,1	600	500	300	0,1	0,0004	0,0051	99,77%	96,88%		[(784, 50), (50, 10)]
relu	2	60	0,1	600	500	300	0,1	0,0004	0,0044	99,74%	97,41%		[(784, 50), (50, 10)]
sigmoid	3	80	0,1	600	500	300	0,1	0,0005	0,0049	99,72%	96,95%		[(784, 50), (50, 20), (20, 10)]
tanh	3	80	0,1	600	500	300	0,1	0,0005	0,0051	99,73%	96,92%		[(784, 50), (50, 20), (20, 10)]
relu	3	80	0,1	600	500	300	0,1	0,0005	0,0055	99,74%	96,94%		[(784, 50), (50, 20), (20, 10)]
sigmoid	3	130	0,1	600	500	300	0,1	0,0004	0,0040	99,76%	97,52%		[(784, 70), (70, 50), (50, 10)]
tanh	3	130	0,1	600	500	300	0,1	0,0003	0,0045	99,79%	97,29%		[(784, 70), (70, 50), (50, 10)]
relu	3	130	0,1	600	500	300	0,1	0,0005	0,0046	99,74%	97,36%		[(784, 70), (70, 50), (50, 10)]
sigmoid	4	130	0,1	600	500	300	0,1	0,0005	0,0062	99,68%	96,27%		[(784, 50), (50, 40), (40, 30), (30, 10)]
tanh	4	130	0,1	600	500	300	0,1	0,0004	0,0052	99,76%	97,02%		[(784, 50), (50, 40), (40, 30), (30, 10)]
relu	4	130	0,1	600	500	300	0,1	0,0005	0,0053	99,74%	97,00%		[(784, 50), (50, 40), (40, 30), (30, 10)]
sigmoid	4	100	0,1	600	500	300	0,1	0,0014	0,0095	99,24%	94,46%		[(784, 20), (20, 40), (40, 30), (30, 10)]
tanh	4	100	0,1	600	500	300	0,1	0,0007	0,0081	99,61%	95,55%		[(784, 20), (20, 40), (40, 30), (30, 10)]
relu	4	100	0,1	600	500	300	0,1	0,0006	0,0074	99,70%	96,03%		[(784, 20), (20, 40), (40, 30), (30, 10)]
sigmoid	2	60	0,5	1	10	1	0,1	0,0933	0,0933	12,15%	12,15%		[(784, 50), (50, 10)]
tanh	2	60	0,5	1	10	1	0,1	0,0916	0,0919	14,96%	13,84%		[(784, 50), (50, 10)]
relu	2	60	0,5	1	10	1	0,1	0,1042	0,1050	12,16%	11,46%		[(784, 50), (50, 10)]
sigmoid	3	80	0,5	1	10	1	0,1	0,0923	0,0923	10,44%	10,28%		[(784, 50), (50, 20), (20, 10)]
tanh	3	80	0,5	1	10	1	0,1	0,0897	0,0897	14,13%	13,53%		[(784, 50), (50, 20), (20, 10)]
relu	3	80	0,5	1	10	1	0,1	0,0931	0,0932	14,82%	14,01%		[(784, 50), (50, 20), (20, 10)]
sigmoid	3	130	0,5	1	10	1	0,1	0,0985	0,0986	9,75%	9,74%		[(784, 70), (70, 50), (50, 10)]
tanh	3	130	0,5	1	10	1	0,1	0,0879	0,0879	27,72%	27,06%		[(784, 70), (70, 50), (50, 10)]
relu	3	130	0,5	1	10	1	0,1	0,0967	0,0967	16,69%	16,19%		[(784, 70), (70, 50), (50, 10)]
sigmoid	4	130	0,5	1	10	1	0,1	0,0944	0,0944	10,34%	10,17%		[(784, 50), (50, 40), (40, 30), (30, 10)]
tanh	4	130	0,5	1	10	1	0,1	0,0925	0,0925	7,60%	8,08%		[(784, 50), (50, 40), (40, 30), (30, 10)]
relu	4	130	0,5	1	10	1	0,1	0,0900	0,0900	9,93%	9,53%		[(784, 50), (50, 40), (40, 30), (30, 10)]
sigmoid	4	100	0,5	1	10	1	0,1	0,0944	0,0944	9,92%	10,09%		[(784, 20), (20, 40), (40, 30), (30, 10)]
tanh	4	100	0,5	1	10	1	0,1	0,0919	0,0920	13,26%	11,57%		[(784, 20), (20, 40), (40, 30), (30, 10)]
relu	4	100	0,5	1	10	1	0,1	0,1045	0,1046	9,92%	10,09%		[(784, 20), (20, 40), (40, 30), (30, 10)]
sigmoid	2	60	0,5	1	10	100	0,1	0,0357	0,0356	77,78%	78,26%		[(784, 50), (50, 10)]
tanh	2	60	0,5	1	10	100	0,1	0,0345	0,0345	75,39%	75,33%		[(784, 50), (50, 10)]
relu	2	60	0,5	1	10	100	0,1	0,0401	0,0395	72,55%	73,58%		[(784, 50), (50, 10)]
sigmoid	3	80	0,5	1	10	100	0,1	0,0902	0,0902	9,04%	8,92%		[(784, 50), (50, 20), (20, 10)]
tanh	3	80	0,5	1	10	100	0,1	0,0394	0,0407	72,03%	70,99%		[(784, 50), (50, 20), (20, 10)]
relu	3	80	0,5	1	10	100	0,1	0,0705	0,0709	42,32%	42,19%		[(784, 50), (50, 20), (20, 10)]
sigmoid	3	130	0,5	1	10	100	0,1	0,0875	0,0875	16,29%	16,17%		[(784, 70), (70, 50), (50, 10)]
tanh	3	130	0,5	1	10	100	0,1	0,0481	0,0487	66,44%	66,07%		[(784, 70), (70, 50), (50, 10)]
relu	3	130	0,5	1	10	100	0,1	0,0712	0,0714	47,84%	46,98%		[(784, 70), (70, 50), (50, 10)]
sigmoid	4	130	0,5	1	10	100	0,1	0,0907	0,0907	9,04%	8,92%		[(784, 50), (50, 40), (40, 30), (30, 10)]
tanh	4	130	0,5	1	10	100	0,1	0,0531	0,0538	61,25%	60,64%		[(784, 50), (50, 40), (40, 30), (30, 10)]
relu	4	130	0,5	1	10	100	0,1	0,0740	0,0744	34,44%	34,20%		[(784, 50), (50, 40), (40, 30), (30, 10)]
sigmoid	4	100	0,5	1	10	100	0,1	0,0908	0,0908	9,04%	8,92%		[(784, 20), (20, 40), (40, 30), (30, 10)]
tanh	4	100	0,5	1	10	100	0,1	0,0549	0,0557	58,61%	57,97%		[(784, 20), (20, 40), (40, 30), (30, 10)]
relu	4	100	0,5	1	10	100	0,1	0,0783	0,0785	29,05%	29,09%		[(784, 20), (20, 40), (40, 30), (30, 10)]
sigmoid	2	60	0,5	1	10	300	0,1	0,0198	0,0188	86,84%	87,57%		[(784, 50), (50, 10)]
tanh	2	60	0,5	1	10	300	0,1	0,0237	0,0231	83,84%	84,44%		[(784, 50), (50, 10)]
relu	2	60	0,5	1	10	300	0,1	0,0228	0,0217	84,04%	84,79%		[(784, 50), (50, 10)]
sigmoid	3	80	0,5	1	10	300	0,1	0,0473	0,0465	70,05%	70,88%		[(784, 50), (50, 20), (20, 10)]
tanh	3	80	0,5	1	10	300	0,1	0,0250	0,0249	83,54%	83,50%		[(784, 50), (50, 20), (20, 10)]
relu	3	80	0,5	1	10	300	0,1	0,0562	0,0571	62,26%	61,38%		[(784, 50), (50, 20), (20, 10)]
sigmoid	3	130	0,5	1	10	300	0,1	0,0428	0,0417	69,49%	70,71%		[(784, 70), (70, 50), (50, 10)]
tanh	3	130	0,5	1	10	300	0,1	0,0228	0,0225	85,08%	85,22%		[(784, 70), (70, 50), (50, 10)]
relu	3	130	0,5	1	10	300	0,1	0,0288	0,0288	80,33%	80,67%		[(784, 70), (70, 50), (50, 10)]
sigmoid	4	130	0,5	1	10	300	0,1	0,0902	0,0902	9,74%	9,82%		[(784, 50), (50, 40), (40, 30), (30, 10)]
tanh	4	130	0,5	1	10	300	0,1	0,0362	0,0359	76,11%	76,16%		[(784, 50), (50, 40), (40, 30), (30, 10)]
relu	4	130	0,5	1	10	300	0,1	0,0650	0,0648	52,68%	53,49%		[(784, 50), (50, 40), (40, 30), (30, 10)]
sigmoid	4	100	0,5	1	10	300	0,1	0,0902	0,0902	9,74%	9,82%		[(784, 20), (20, 40), (40, 30), (30, 10)]
tanh	4	100	0,5	1	10	300	0,1	0,0413	0,0420	73,50%	73,18%		[(784, 20), (20, 40), (40, 30), (30, 10)]
relu	4	100	0,5	1	10	300	0,1	0,0543	0,0544	53,89%	53,14%		[(784, 20), (20, 40), (40, 30), (30, 10)]
sigmoid	2	60	0,5	1	100	1	0,1	0,0896	0,0896	12,97%	12,56%		[(784, 50), (50, 10)]
tanh	2	60	0,5	1	100	1	0,1	0,0893	0,0893	18,27%	18,46%		[(784, 50), (50, 10)]
relu	2	60	0,5	1	100	1	0,1	0,0936	0,0937	14,67%	14,47%		[(784, 50), (50, 10)]
sigmoid	3	80	0,5	1	100	1	0,1	0,0901	0,0901	11,12%	11,27%		[(784, 50), (50, 20), (20, 10)]
tanh	3	80	0,5	1	100	1	0,1	0,0896	0,0896	9,76%	9,42%		[(784, 50), (50, 20), (20, 10)]
relu	3	80	0,5	1	100	1	0,1	0,0895	0,0894	14,84%	14,95%		[(784, 50), (50, 20), (20, 10)]
sigmoid	3	130	0,5	1	100	1	0,1	0,0903	0,0904	11,24%	11,35%		[(784, 70), (70, 50), (50, 10)]
tanh	3	130	0,5	1	100	1	0,1	0,0878	0,0878	26,71%	26,25%		[(784, 70), (70, 50), (50, 10)]
relu	3	130	0,5	1	100	1	0,1	0,0883	0,0882	17,45%	17,98%		[(784, 70), (70, 50), (50, 10)]
sigmoid	4	130	0,5	1	100	1	0,1	0,0902	0,0902	11,24%	11,35%		[(784, 50), (50, 40), (40, 30), (30, 10)]
tanh	4	130	0,5	1	100	1	0,1	0,0899	0,0899	14,43%	14,23%		[(784, 50), (50, 40), (40, 30), (30, 10)]
relu	4	130	0,5	1	100	1	0,1	0,0902	0,0902	15,52%	15,55%		[(784, 50), (50, 40), (40, 30), (30, 10)]
sigmoid	4	100	0,5	1	100	1	0,1	0,0903	0,0903	11,24%	11,35%		[(784, 20), (20, 40), (40, 30), (30, 10)]
tanh	4	100	0,5	1	100	1	0,1	0,0902	0,0902	9,52%	9,60%		[(784, 20), (20, 40), (40, 30), (30, 10)]
relu	4	100	0,5	1	100	1	0,1	0,0898	0,0898	11,97%	12,07%		[(784, 20), (20, 40), (40, 30), (30, 10)]
sigmoid	2	60	0,5	1	100	100	0,1	0,0288	0,0278	84,78%	85,50%		[(784, 50), (50, 10)]
tanh	2	60	0,5	1	100	100	0,1	0,0159	0,0152	89,55%	90,08%		[(784, 50), (50, 10)]
relu	2	60	0,5	1	100	100	0,1	0,0176	0,0171	88,20%	88,47%		[(784, 50), (50, 10)]
sigmoid	3	80	0,5	1	100	100	0,1	0,0874	0,0873	26,69%	27,88%		[(784, 50), (50, 20), (20, 10)]
tanh	3	80	0,5	1	100	100	0,1	0,0183	0,0177	88,09%	88,65%		[(784, 50), (50, 20), (20, 10)]
relu	3	80	0,5	1	100	100	0,1	0,0180	0,0174	87,94%	88,27%		[(784, 50), (50, 20), (20, 10)]
sigmoid	3	130	0,5	1	100	100	0,1	0,0786	0,0783	55,16%	55,69%		[(784, 70), (70, 50), (50, 10)]
tanh	3	130	0,5	1	100	100	0,1	0,0161	0,0154	89,36%	89,89%		[(784, 70), (70, 50), (50, 10)]
relu	3	130	0,5	1	100	100	0,1	0,0186	0,0184	87,23%	87,54%		[(784, 70), (70, 50), (50, 10)]
sigmoid	4	130	0,5	1	100	100	0,1	0,0902	0,0902	9,93%	10,32%		[(784, 50), (50, 40), (40, 30), (30, 10)]
tanh	4	130	0,5	1	100	100	0,1	0,0228	0,0223	84,72%	85,28%		[(784, 50), (50, 40), (40, 30), (30, 10)]
relu	4	130	0,5	1	100	100	0,1	0,0339	0,0331	75,13%	75,67%		[(784, 50), (50, 40), (40, 30), (30, 10)]
sigmoid	4	100	0,5	1	100	100	0,1	0,0901	0,0901	9,93%	10,32%		[(784, 20), (20, 40), (40, 30), (30, 10)]
tanh	4	100	0,5	1	100	100	0,1	0,0225	0,0219	85,22%	85,46%		[(784, 20), (20, 40), (40, 30), (30, 10)]
relu	4	100	0,5	1	100	100	0,1	0,0263	0,0247	82,14%	83,71%		[(784, 20), (20, 40), (40, 30), (30, 10)]
sigmoid	2	60	0,5	1	100	300	0,1	0,0162	0,0155	89,75%	90,26%		[(784, 50), (50, 10)]
tanh	2	60	0,5	1	100	300	0,1	0,0114	0,0114	92,54%	92,50%		[(784, 50), (50, 10)]
relu	2	60	0,5	1	100	300	0,1	0,0104	0,0103	93,15%	93,19%		[(784, 50), (50, 10)]
sigmoid	3	80	0,5	1	100	300	0,1	0,0423	0,0416	75,61%	75,92%		[(784, 50), (50, 20), (20, 10)]
tanh	3	80	0,5	1	100	300	0,1	0,0115	0,0114	92,41%	92,53%		[(784, 50), (50, 20), (20, 10)]
relu	3	80	0,5	1	100	300	0,1	0,0109	0,0108	92,71%	92,71%		[(784, 50), (50, 20), (20, 10)]
sigmoid	3	130	0,5	1	100	300	0,1	0,0277	0,0271	83,96%	84,29%		[(784, 70), (70, 50), (50, 10)]
tanh	3	130	0,5	1	100	300	0,1	0,0104	0,0103	93,11%	93,17%		[(784, 70), (70, 50), (50, 10)]
relu	3	130	0,5	1	100	300	0,1	0,0101	0,0104	93,27%	93,03%		[(784, 70), (70, 50), (50, 10)]
sigmoid	4	130	0,5	1	100	300	0,1	0,0897	0,0896	11,24%	11,35%		[(784, 50), (50, 40), (40, 30), (30, 10)]
tanh	4	130	0,5	1	100	300	0,1	0,0114	0,0118	92,38%	92,04%		[(784, 50), (50, 40), (40, 30), (30, 10)]
